date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:30:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2009:30:50%20GMT	https://tansik.digital.gov.eg/robots.txt		(from )
02:30:31	14933/14933	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:42%20GMT	https://tansik.digital.gov.eg/application/	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/index.html	(from )
02:30:32	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202024%2009:30:43%20GMT	https://tansik.digital.gov.eg/application/favicon.ico	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/favicon.0.delayed	(from https://tansik.digital.gov.eg/application/)
02:30:32	3182/3182	---M--	200	added ('OK')	image/png	etag:%220a589fe788fd71:0%22	https://tansik.digital.gov.eg/application/Images/logo.png	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Images/logo.png	(from https://tansik.digital.gov.eg/application/)
02:30:33	95332/95332	---M--	200	added ('OK')	image/png	etag:%22089d09c5c88d71:0%22	https://tansik.digital.gov.eg/application/Images/HigherEducation.png	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Images/HigherEducation.png	(from https://tansik.digital.gov.eg/application/)
02:30:33	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2208c78be7a0cf1:0%22	https://tansik.digital.gov.eg/application/images/favbwaba.ico	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/images/favbwaba.ico	(from https://tansik.digital.gov.eg/application/)
02:30:33	13454/13454	---M-Z	200	added ('OK')	text/css	etag:%220cfc511d389d71:0%22	https://tansik.digital.gov.eg/application/Images/Style.css	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Images/Style.css	(from https://tansik.digital.gov.eg/application/)
02:30:34	5915/5915	---M-Z	200	added ('OK')	text/css	etag:%220694e916a3cf1:0%22	https://tansik.digital.gov.eg/application/style.css	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/style.css	(from https://tansik.digital.gov.eg/application/)
02:30:34	16835/16835	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:45%20GMT	https://tansik.digital.gov.eg/application/introduction.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/introduction.html	(from https://tansik.digital.gov.eg/application/)
02:30:35	10184/10184	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:46%20GMT	https://tansik.digital.gov.eg/application/userguide.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/userguide.html	(from https://tansik.digital.gov.eg/application/)
02:30:35	69/69	---M--	200	added ('OK')	image/gif	etag:%2204647ae50a1c61:0%22	https://tansik.digital.gov.eg/application/Theme/img_bullet.gif	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Theme/img_bullet.gif	(from https://tansik.digital.gov.eg/application/)
02:30:36	23238/23238	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:47%20GMT	https://tansik.digital.gov.eg/application/Certificates/Thanwy/defaultThanwy.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/defaultThanwy.html	(from https://tansik.digital.gov.eg/application/)
02:30:36	34440/34440	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:47%20GMT	https://tansik.digital.gov.eg/application/Certificates/Azhar/DefaultAzhar.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Azhar/DefaultAzhar.html	(from https://tansik.digital.gov.eg/application/)
02:30:37	59450/59450	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:48%20GMT	https://tansik.digital.gov.eg/application/Certificates/Fani/DefaultFani.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Fani/DefaultFani.html	(from https://tansik.digital.gov.eg/application/)
02:30:37	11735/11735	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:48%20GMT	https://tansik.digital.gov.eg/application/Certificates/Mo3adla/DefaultFtansik.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Mo3adla/DefaultFtansik.html	(from https://tansik.digital.gov.eg/application/)
02:30:37	12818/12818	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:48%20GMT	https://tansik.digital.gov.eg/application/Certificates/Stem/defaultStem.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Stem/defaultStem.html	(from https://tansik.digital.gov.eg/application/)
02:30:38	13044/13044	---M--	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202024%2009:30:49%20GMT	https://tansik.digital.gov.eg/application/Certificates/Nile/defaultNile.aspx	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Nile/defaultNile.html	(from https://tansik.digital.gov.eg/application/)
